No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
18,受注希望,土木一式工事,731.0,23000000,樹木伐採工 堆積土除去工,飯田建設事務所,下伊那郡平谷村,（株）片桐工務所、南信土木建築（有）、（有）福士組
19,受注希望,土木一式工事,731.0,24890000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,（株）南建設
20,受注希望,土木一式工事,731.0,25720000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡売木村,（株）イケガミ、（株）片桐工務所、（有）福士組、（有）新野工務店
21,受注希望,土木一式工事,731.0,18050000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,（株）カリス、（有）代田工業、二吉建設（株）、（有）畑中工務所
22,受注希望,土木一式工事,807.0,43100000,堤防補強工 堤脚保護工 堤脚ドレーン工 河川維持工 樹木除去工 堆積土除去工,飯田建設事務所,飯田市,（株）カリス、田中工業（有）、宮嘉建設（有）、二吉建設（株）、（有）畑中工務所、小池建設（株）
23,受注希望,土木一式工事,731.0,14780000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡高森町,（有）北原土木、（有）シビル・ササキ、伊那建設（有）、関口工業（有）
24,受注希望,土木一式工事,731.0,19290000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡豊丘村,（有）尾畑組、（有）北原土木、（有）シビル・ササキ、関口工業（有）
25,受注希望,土木一式工事,807.0,36800000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡松川町,（株）吉野組、（有）尾畑組、北沢建設（株）、関口工業（有）
26,受注希望,土木一式工事,807.0,62440000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡阿智村,（株）片桐工務所、三建建設（有）、阿智工務店（株）、（有）雄長組、（株）パテック、（有）竹村工務所、小池建設（株）、藤井興業（株）、南信土木建築（有）、（株）三六組、木下工業（株）、北沢建設（株）
27,受注希望,土木一式工事,807.0,69960000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,阿智工務店（株）、（有）雄長組、小池建設（株）、木下工業（株）、藤井興業（株）、（株）三六組、（株）下平組、北沢建設（株）、（株）片桐工務所
28,総合評価,とび・土工・コンクリート工事,846.0,148430000,高強度ネット工 鉄筋挿入工 ロープ伏工 グラウンドアンカー工,飯田建設事務所,下伊那郡天龍村から阿南町,（株）カリス、勝間田建設（株）、神稲建設（株）、（株）トライネット、小池建設（株）、金本建設（株）、吉川建設（株）、北沢建設（株）
29,受注希望,土木一式工事,731.0,非公開,横断歩道橋下部工 既設横断歩道橋撤去工,飯田建設事務所,飯田市,宮嘉建設（有）
30,受注希望,鋼構造物工事,,事後公開,水路工,南信州地域振興局,下伊那郡高森町,
31,受注希望,とび・土工・コンクリート工事,756.0,35130000,高エネルギー吸収型落石防止網工,飯田建設事務所,下伊那郡平谷村から飯田市,阿智工務店（株）、南部建設（有）、（有）新野工務店、（株）近藤工務店
32,受注希望,森林整備,,720000,,南信州地域振興局,喬木村,飯伊森林組合、エレファントチーム
33,受注希望,土木一式工事,812.0,37240000,拡幅改良工 ボックスカルバート工 側溝工 舗装工,飯田建設事務所,飯田市,南信土木建築（有）、田中工業（有）、（有）北原土木、高本建設（株）、（株）パテック、（有）コスモ建設、（有）竹村工務所、小木曽建設（株）、関口工業（有）
34,総合評価,土木一式工事,812.0,53660000,山腹工 土留工 実播工,南信州地域振興局,飯田市,細澤建設（株）
35,受注希望,土木一式工事,741.0,24280000,谷止工,南信州地域振興局,飯田市,（有）代田工業
36,総合評価,土木一式工事,741.0,18500000,,南信州地域振興局,飯田市,（株）カリス
37,総合評価,土木一式工事,812.0,36970000,拡幅改良工 ブロック積工 側溝工 車道舗装工 歩道舗装工,飯田建設事務所,上市,小木曽建設（株）、（有）雄長組、高本建設（株）、（有）宮澤組
38,受注希望,土木一式工事,812.0,38140000,渓流保全工 流路護岸工,飯田建設事務所,下伊那郡阿智村,（有）畑中工務所、木下工業（株）、（有）北原土木、宮嘉建設（有）、阿智工務店（株）、南信土木建築（有）、（有）コスモ建設、（株）片桐工務所
39,受注希望,とび・土工・コンクリート工事,841.0,50960000,法面対策工 繊維補強モルタル吹付工 落石防護網工,飯田建設事務所,下伊那郡平谷村から飯田市,（有）雄長組、（株）清信建設興業、伊賀良建設（株）、木下工業（株）、（株）木次工務店、長豊建設（株）、（株）シノダ、三建建設（有）、勝間田建設（株）、南信土木建築（有）、池田建設（株）、（株）片桐工務所、（株）パテック、（株）カリス、神稲建設（株）、北沢建設（株）、（有）畑中工務所
40,受注希望,とび・土工・コンクリート工事,841.0,51700000,法面対策工 繊維補強モルタル吹付工 法枠工,飯田建設事務所,下伊那郡阿南町,（株）清信建設興業、伊賀良建設（株）、木下工業（株）、（株）シノダ、南信土木建築（有）、池田建設（株）、（有）雄長組、（有）畑中工務所、（株）パテック、クラウニング（株）、（株）カリス、北沢建設（株）、（株）木次工務店、（株）片桐工務所、古田工業（株）
41,受注希望,塗装工事,,4620000,区画線設置工,飯田建設事務所,上伊那郡中川村,中信測機（株）、サンテック（株）、（株）石原工務店、長野機材（株）、（株）板倉、矢木コーポレーション（株）、山本産業（株）、黒河内建設（株）、（有）ヒラサワ、（株）長野標識、信越測機（株）
42,受注希望,とび・土工・コンクリート工事,756.0,41450000,法面対策工 ポケット式落石防止網工,飯田建設事務所,下伊那郡阿智村,（有）雄長組、南部建設（有）、クラウニング（株）、古田工業（株）、南信土木建築（有）、（株）片桐工務所、小池建設（株）、阿智工務店（株）、（有）福士組、金本建設（株）、三建建設（有）、（有）畑中工務所、（株）パテック、太田土建（有）、神稲建設（株）、北沢建設（株）、宮下建設（有）、宮嘉建設（有）、（有）竹村工務所
43,受注希望,土木一式工事,741.0,25790000,道路拡幅工 補強土壁工,飯田建設事務所,下伊那郡松川町,（有）コスモ建設、（有）北原土木、伊那建設（有）、（株）パテック
44,受注希望,とび・土工・コンクリート工事,756.0,20480000,法面対策工 モルタル吹付工,飯田建設事務所,飯田市,阿智工務店（株）、小池建設（株）、（有）福士組、南部建設（有）、太田土建（有）、宮下建設（有）、宮嘉建設（有）、野島建設（株）
45,総合評価,とび・土工・コンクリート工事,841.0,92850000,高エネルギー吸収落石防止網工 ロープ掛工 モルタル吹付工,飯田建設事務所,飯田市,（株）カリス、吉川建設（株）、勝間田建設（株）、小池建設（株）、北沢建設（株）、（株）金田組、（株）近藤工務店、池端工業（株）
46,受注希望,とび・土工・コンクリート工事,756.0,31550000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工 コンクリート吹付工,飯田建設事務所,上伊那郡中川村から大鹿村,
47,総合評価,土木一式工事,812.0,非公開,,南信州地域振興局,飯田市,
48,受注希望,とび・土工・コンクリート工事,,3340000,,南信州地域振興局,豊丘村,道栄建設（株）、（有）ヒラサワ、（有）神和創建
49,参加希望,土木一式工事,811.0,非公開,山腹工 土留工 伏工,南信州地域振興局,高森町,
50,参加希望,土木一式工事,811.0,1150000,地すべり防止工 伏工,南信州地域振興局,大鹿村,道栄建設（株）
51,総合評価,土木一式工事,812.0,非公開,,南信州地域振興局,大鹿村,
52,総合評価,土木一式工事,812.0,非公開,谷止工,南信州地域振興局,阿南町,
53,総合評価,とび・土工・コンクリート工事,841.0,51800000,法面防災工 落石防止網工 落石防護柵工,飯田建設事務所,飯田市,北沢建設（株）、金本建設（株）
54,受注希望,とび・土工・コンクリート工事,841.0,88330000,法面対策工 赤石トンネル下工 吹付工 ポケット式落石防止金網工,飯田建設事務所,飯田市,三建建設（有）、池田建設（株）、山崎建設（株）、（有）サンワ工務店、吉川建設（株）、神稲建設（株）、北沢建設（株）
55,受注希望,とび・土工・コンクリート工事,841.0,68060000,法面対策工 吹付工,飯田建設事務所,下伊那郡阿智村から飯田市,池田建設（株）、（株）シノダ、勝間田建設（株）、南信土木建築（有）、（株）片桐工務所、（有）雄長組、三建建設（有）、神稲建設（株）、北沢建設（株）
56,受注希望,とび・土工・コンクリート工事,841.0,64040000,法面対策工 繊維補強モルタル吹付工,飯田建設事務所,下伊那郡阿南町,（株）シノダ、（株）清信建設興業、伊賀良建設（株）、（株）木次工務店、（株）片桐工務所、池田建設（株）、（株）パテック、木下工業（株）、南信土木建築（有）、（有）雄長組、神稲建設（株）、北沢建設（株）
57,受注希望,とび・土工・コンクリート工事,841.0,62600000,法面対策工 赤石トンネル下工 吹付工,飯田建設事務所,飯田市,吉川建設（株）、（株）近藤工務店、池田建設（株）、山崎建設（株）、北沢建設（株）
58,受注希望,とび・土工・コンクリート工事,841.0,75520000,法面対策工 台城橋北工 吹付工 ポケット式落石防止網工 台城橋南工,飯田建設事務所,駒ケ根市から飯田市,池田建設（株）、（有）尾畑組、勝間田建設（株）、北沢建設（株）
59,受注希望,とび・土工・コンクリート工事,841.0,50210000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工,飯田建設事務所,上伊那郡中川村から大鹿村,（有）北原土木、池田建設（株）、小池建設（株）、吉川建設（株）、（株）アスピア、神稲建設（株）、北沢建設（株）、古田工業（株）
60,受注希望,とび・土工・コンクリート工事,841.0,57520000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工,飯田建設事務所,上伊那郡中川村から大鹿村,北沢建設（株）、池田建設（株）、小池建設（株）、吉川建設（株）、（株）アスピア、神稲建設（株）、（株）木次工務店
61,受注希望,とび・土工・コンクリート工事,841.0,76280000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工,飯田建設事務所,上伊那郡中川村から大鹿村,池田建設（株）、（株）アスピア、長野機材（株）、吉川建設（株）、神稲建設（株）、北沢建設（株）
62,総合評価,土木一式工事,953.0,182020000,砂防堰堤工 本堤工 管理用道路工,飯田建設事務所,飯田市,池端工業（株）、（株）カリス、勝間田建設（株）、北沢建設（株）
63,受注希望,とび・土工・コンクリート工事,756.0,30370000,既設法面補修工,飯田建設事務所,伊那市から飯田市,阿智工務店（株）、南部建設（有）、（有）福士組、宮下建設（有）
64,受注希望,とび・土工・コンクリート工事,756.0,35700000,コンクリート吹付工,飯田建設事務所,飯田市,三建建設（有）、南部建設（有）、クラウニング（株）、南信土木建築（有）、小池建設（株）、（有）雄長組、宮嘉建設（有）、宮下建設（有）、阿智工務店（株）
65,受注希望,土木一式工事,812.0,44810000,コンクリートブロック積工 植生基材吹付工,飯田建設事務所,飯田市,古田工業（株）、太田土建（有）、宮嘉建設（有）、阿智工務店（株）、（有）福士組、宮下建設（有）、（有）北原土木、（株）パテック、クラウニング（株）、南信土木建築（有）、（有）畑中工務所、（有）竹村工務所、木下工業（株）
66,総合評価,とび・土工・コンクリート工事,841.0,118090000,法面対策工 吹付工 ポケット式落石防止網工,飯田建設事務所,下伊那郡阿智村,（株）カリス、勝間田建設（株）、北沢建設（株）、南信土木建築（有）
67,受注希望,とび・土工・コンクリート工事,756.0,19320000,集水ボーリング工 集水管洗浄工 排水管洗浄工,飯田建設事務所,紙屋工区,（株）パテック、阿智工務店（株）、三建建設（有）、南部建設（有）、（有）北原土木、古田工業（株）
68,受注希望,とび・土工・コンクリート工事,756.0,43940000,落石防止工 落石防護柵コンクリート基礎工 落石防護柵工,飯田建設事務所,伊那市から飯田市,宮下建設（有）、阿智工務店（株）、池端工業（株）、山崎建設（株）
69,総合評価,土木一式工事,953.0,103530000,歩道設置工,飯田建設事務所,下伊那郡阿智村,南信土木建築（有）、（株）三六組、木下工業（株）、小木曽建設（株）
70,総合評価,とび・土工・コンクリート工事,841.0,143260000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,小池建設（株）、（株）トライネット、吉川建設（株）、木下建設（株）、北沢建設（株）
71,受注希望,とび・土工・コンクリート工事,841.0,57270000,法面対策工 コンクリート吹付工,飯田建設事務所,飯田市,南信土木建築（有）、池田建設（株）、小池建設（株）、（株）シノダ、木下工業（株）、（株）アスピア、神稲建設（株）、（株）木次工務店、北沢建設（株）
72,受注希望,とび・土工・コンクリート工事,841.0,57550000,法面対策工 コンクリート吹付工,飯田建設事務所,飯田市,南信土木建築（有）、池田建設（株）、小池建設（株）、（株）アスピア、神稲建設（株）、木下工業（株）、（株）木次工務店、北沢建設（株）
73,受注希望,とび・土工・コンクリート工事,756.0,36990000,グラウンドアンカー工,飯田建設事務所,下伊那郡下條村,（株）吉野組、阿智工務店（株）、（株）三六組、金本建設（株）
74,受注希望,とび・土工・コンクリート工事,841.0,58820000,法面対策工 コンクリート吹付工,飯田建設事務所,飯田市,（株）シノダ、（株）木次工務店、伊賀良建設（株）、木下工業（株）、（有）尾畑組、（株）清信建設興業、勝間田建設（株）、南信土木建築（有）、池田建設（株）、金本建設（株）、神稲建設（株）、北沢建設（株）
75,受注希望,鋼構造物工事,751.0,非公開,橋梁補修工 主桁補修工 主桁塗装工,飯田建設事務所,飯田市,
76,総合評価,ほ装工事,825.0,20980000,舗装修繕工,飯田建設事務所,下伊那郡阿智村,金本建設（株）、神稲建設（株）、小木曽建設（株）
77,受注希望,電気工事,820.0,43720000,トンネル照明設備工,飯田建設事務所,下伊那郡下條村,土屋電気工事（株）、（株）石田電気工事、東陽興業（株）、（有）共進電気、新井電気工事（株）、丸登電業（株）
78,受注希望,電気工事,820.0,39600000,トンネル照明設備工,飯田建設事務所,下伊那郡阿智村,東陽興業（株）、土屋電気工事（株）、新井電気工事（株）、（株）石田電気工事、（有）共進電気、丸登電業（株）
79,受注希望,電気工事,820.0,34120000,トンネル照明設備工,飯田建設事務所,下伊那郡下條村,土屋電気工事（株）、東陽興業（株）、（有）共進電気、（株）石田電気工事、新井電気工事（株）、丸登電業（株）
80,受注希望,電気工事,820.0,32810000,トンネル照明設備工,飯田建設事務所,下伊那郡下條村,東陽興業（株）、（有）共進電気、（株）石田電気工事、新井電気工事（株）、土屋電気工事（株）、丸登電業（株）
81,受注希望,土木一式工事,811.0,3690000,土砂流出対策工,飯田建設事務所,下伊那郡阿南町,道栄建設（株）、（有）代田工業、（有）ヒラサワ
82,受注希望,土木一式工事,812.0,37290000,道路築造工 盛土工 ブロック積工,飯田建設事務所,下伊那郡松川町,シブキヤ建設（株）、南信土木建築（有）、（株）吉野組、木下工業（株）、（有）尾畑組、（有）雄長組、（有）北原土木、（有）畑中工務所、高本建設（株）、宮嘉建設（有）、（有）清水建材工業、（有）竹村工務所
83,受注希望,電気工事,820.0,35730000,トンネル照明設備工,飯田建設事務所,下伊那郡下條村,土屋電気工事（株）、東陽興業（株）、（有）共進電気、新井電気工事（株）、（株）石田電気工事、丸登電業（株）
84,受注希望,電気工事,820.0,24760000,トンネル照明設備工,飯田建設事務所,下伊那郡下條村,土屋電気工事（株）、（有）共進電気、（株）石田電気工事、東陽興業（株）、新井電気工事（株）、丸登電業（株）
85,受注希望,土木一式工事,812.0,非公開,,南信州地域振興局,飯田市,
86,総合評価,ほ装工事,926.0,53990000,舗装修繕工,飯田建設事務所,旭町,金本建設（株）、神稲建設（株）、小木曽建設（株）
87,受注希望,電気工事,820.0,事後公開,,南信州地域振興局,下伊那郡高森町,
88,受注希望,土木一式工事,812.0,非公開,,南信州地域振興局,大鹿村,
89,受注希望,土木一式工事,812.0,非公開,谷止工,南信州地域振興局,阿南町,
90,受注希望,ほ装工事,825.0,4980000,舗装補修工 切削オーバーレイ工 舗装打換え工,飯田建設事務所,飯田市,小木曽建設（株）、（有）北原土木、南信土木建築（有）、高本建設（株）
91,受注希望,ほ装工事,,4440000,切削オーバーレイ工,飯田建設事務所,下伊那郡喬木村,高本建設（株）、小木曽建設（株）、野島建設（株）、関口工業（有）
92,受注希望,土木一式工事,657.0,8040000,小嵐工 舗装工 小嵐上工 練石工,飯田建設事務所,飯田市,（株）南建設
93,受注希望,とび・土工・コンクリート工事,756.0,31530000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工 コンクリート吹付工,飯田建設事務所,上伊那郡中川村から大鹿村,（有）北原土木、南信土木建築（有）、古田工業（株）、（有）畑中工務所、太田土建（有）、（有）竹村工務所
94,総合評価,土木一式工事,812.0,非公開,道路築造工 現場吹付法枠工 かご枠工 舗装工,飯田建設事務所,飯田市,山崎建設（株）
95,受注希望,土木一式工事,812.0,31960000,山腹工 土留工,南信州地域振興局,飯田市,クラウニング（株）
96,総合評価,土木一式工事,812.0,事後公開,橋梁下部工 橋脚工 橋台工,南信州地域振興局,下伊那郡阿智村,南信土木建築（有）
97,受注希望,森林整備,,1250000,,南信州地域振興局,飯田市,飯伊森林組合、エレファントチーム
98,受注希望,電気工事,820.0,35770000,,南信州地域振興局,下伊那郡高森町,甲信商事（株）飯田営業所、東陽興業（株）
99,総合評価,とび・土工・コンクリート工事,841.0,148840000,鉄筋挿入工 簡易吹付法枠工,飯田建設事務所,飯田市,木下工業（株）
100,受注希望,とび・土工・コンクリート工事,756.0,22540000,大型案内標識設置工,飯田建設事務所,飯田市,（株）石原工務店、信越測機（株）、中信測機（株）、保安商事（株）、長野機材（株）、矢木コーポレーション（株）、黒河内建設（株）、（株）タカサワマテリアル、（株）ＣＴＳラインテック、（株）長野自動車センター
101,受注希望,電気工事,820.0,40680000,照明設備工,飯田建設事務所,飯田市,土屋電気工事（株）、東陽興業（株）、丸登電業（株）、（株）石田電気工事、新井電気工事（株）、（有）共進電気
102,総合評価,ほ装工事,825.0,21450000,舗装補修工,飯田建設事務所,飯田市,小木曽建設（株）、木下建設（株）、（株）下平組
103,受注希望,土木一式工事,812.0,33840000,道路拡幅工 補強土壁工,飯田建設事務所,下伊那郡松川町,（有）尾畑組、（有）北原土木、（株）吉野組
104,受注希望,土木一式工事,741.0,18210000,道路築造工 排水工 防護柵工 舗装工,飯田建設事務所,飯田市,（有）今村工務所、（有）雄長組、太田土建（有）、宮嘉建設（有）、（有）竹村工務所、（有）代田工業
105,受注希望,土木一式工事,812.0,44910000,渓流保全工 流路護岸工,飯田建設事務所,下伊那郡阿智村,（有）尾畑組、（株）片桐工務所、木下工業（株）、阿智工務店（株）、宮嘉建設（有）、（有）北原土木、南信土木建築（有）、（有）雄長組、細澤建設（株）
106,受注希望,土木一式工事,812.0,37920000,渓流保全工 床固工 帯工 護床工,飯田建設事務所,下伊那郡阿智村,（株）片桐工務所、南信土木建築（有）
107,受注希望,土木一式工事,812.0,37970000,道路拡幅改良工 型擁壁工 舗装工,飯田建設事務所,下伊那郡阿智村,（株）片桐工務所、（有）雄長組、南信土木建築（有）、阿智工務店（株）、（有）畑中工務所、細澤建設（株）、太田土建（有）、（有）竹村工務所、宮嘉建設（有）、（株）清信建設興業、（有）コスモ建設
108,受注希望,とび・土工・コンクリート工事,841.0,92960000,法面対策工 繊維補強モルタル吹付工 落石防止網撤去設置工,飯田建設事務所,上伊那郡中川村から下伊那郡大鹿村,（株）吉野組、勝間田建設（株）、南信土木建築（有）、池田建設（株）、長野機材（株）、北沢建設（株）
109,受注希望,とび・土工・コンクリート工事,,4700000,,飯田建設事務所,飯田市,太田土建（有）、黒河内建設（株）、（有）新井工務店、長野機材（株）、（有）神和創建、（株）板倉、中信測機（株）、（株）長野標識、矢木コーポレーション（株）、山本産業（株）、信越測機（株）
110,一般競争,電気工事,820.0,31730000,非常用発電機設置工,飯田建設事務所,下伊那郡阿南町,新井電気工事（株）
111,総合評価,土木一式工事,812.0,非公開,,南信州地域振興局,喬木村,
112,受注希望,土木一式工事,741.0,23030000,河川付替工 ボックスカルバート工 型水路工 床固工 道路築造工,飯田建設事務所,飯田市,（有）竹村工務所、（有）今村工務所、（有）雄長組、（有）北原土木、（有）代田工業、太田土建（有）
113,受注希望,とび・土工・コンクリート工事,756.0,13750000,地すべり防止工 集水ボーリング工 集水管洗浄工 排水管洗浄工,飯田建設事務所,合原工区,（株）パテック、阿智工務店（株）、（有）北原土木、古田工業（株）
114,総合評価,土木一式工事,812.0,38320000,砂防堰堤工 本堤工 前処理工,飯田建設事務所,下伊那郡松川町,（有）北原土木、（有）尾畑組
115,総合評価,ほ装工事,926.0,94840000,舗装工,飯田建設事務所,飯田市,吉川建設（株）、小木曽建設（株）、勝間田建設（株）、木下建設（株）、金本建設（株）、北沢建設（株）、神稲建設（株）
116,受注希望,とび・土工・コンクリート工事,756.0,19540000,落石予防工,飯田建設事務所,下伊那郡平谷村から飯田市,（有）上野建設、阿智工務店（株）、（有）福士組
117,総合評価,土木一式工事,953.0,125950000,護岸工 根固工 水制工,飯田建設事務所,飯田市,池端工業（株）、吉川建設（株）、神稲建設（株）、（株）サンテクト、（株）近藤工務店
118,受注希望,土木一式工事,657.0,10040000,付替道路工,飯田建設事務所,飯田市,太田土建（有）、阿智工務店（株）、（有）竹村工務所、（有）吉川建設工業、（有）代田工業、（有）今村工務所
119,総合評価,水道施設工事,840.0,54520000,,南信州地域振興局,下伊那郡高森町,勝間田建設（株）
120,総合評価,とび・土工・コンクリート工事,756.0,31030000,山腹工 固定工,南信州地域振興局,天龍村,（有）福士組、（株）シノダ
121,参加希望,土木一式工事,811.0,1980000,土止工 フトン篭工 付帯工,南信州地域振興局,飯田市,（有）久保田工務所
122,受注希望,森林整備,,940000,保育工,南信州地域振興局,泰阜村,飯伊森林組合
123,総合評価,土木一式工事,812.0,非公開,床固工,南信州地域振興局,泰阜村,
124,一般競争,電気通信工事,820.0,28220000,テレメータ設備更新工,飯田建設事務所,管内一円,丸登電業（株）
125,受注希望,電気通信工事,703.0,事後公開,流量計付替工,南信州地域振興局,下伊那郡豊丘村,（株）伊那エンジニアリング
126,総合評価,土木一式工事,812.0,非公開,山腹工 筋工 伏工,南信州地域振興局,飯田市,
127,総合評価,土木一式工事,953.0,96180000,道路築造工 軽量盛土工 車道張出工 舗装工,飯田建設事務所,飯田市,勝間田建設（株）
128,総合評価,とび・土工・コンクリート工事,841.0,130340000,貯水池内掘削工 堆積土掘削工 掘削土運搬工,飯田建設事務所,飯田市,（株）トライネット、勝間田建設（株）、長豊建設（株）、吉川建設（株）、木下建設（株）、神稲建設（株）、北沢建設（株）
129,総合評価,とび・土工・コンクリート工事,841.0,138430000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,（株）トライネット、勝間田建設（株）、長豊建設（株）、吉川建設（株）、木下建設（株）、神稲建設（株）、北沢建設（株）
130,受注希望,造園工事,751.0,13620000,植栽維持工,飯田建設事務所,飯田市,（株）伍福園
131,受注希望,とび・土工・コンクリート工事,756.0,19400000,法面対策工 吹付工 ポケット式落石防止網工,飯田建設事務所,下伊那郡阿智村から飯田市,太田土建（有）、阿智工務店（株）、南信土木建築（有）、（有）雄長組
132,受注希望,土木一式工事,741.0,20160000,道路拡幅工,飯田建設事務所,下伊那郡阿南町,（有）北原土木、（有）畑中工務所、太田土建（有）、（有）代田工業、（有）今村工務所、（有）新井工務店
133,受注希望,土木一式工事,741.0,19630000,親水護岸工,飯田建設事務所,飯田市,（有）代田工業
134,受注希望,とび・土工・コンクリート工事,756.0,22710000,号工 吹付コンクリート工 吹付基礎工 虫川橋上工 ポケット式落石防止網工 植生マット工,飯田建設事務所,飯田市,（有）福士組、（有）上野建設、太田土建（有）
135,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁補修工 伸縮継手工 主桁塗装工 橋台補修工,飯田建設事務所,飯田市,
136,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁補修工 沓座補修工 落橋防止工,飯田建設事務所,飯田市,
137,受注希望,土木一式工事,657.0,非公開,水路工,南信州地域振興局,下伊那郡下條村,
138,受注希望,土木一式工事,812.0,非公開,道路拡幅工 型擁壁工,飯田建設事務所,下伊那郡泰阜村,
139,総合評価,土木一式工事,812.0,非公開,渓間工 谷止工,南信州地域振興局,平谷村,
140,一般競争,電気通信工事,820.0,事後公開,,飯田建設事務所,飯田建設事務所,
141,受注希望,土木一式工事,811.0,5140000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,（有）神和創建、道栄建設（株）、（有）イチバ土木、（有）吉川建設工業
142,受注希望,土木一式工事,741.0,18910000,道路拡幅工 法面工 舗装工,飯田建設事務所,下伊那郡喬木村,（有）北原土木、野島建設（株）、（有）吉川建設工業、高本建設（株）
